,Sieve non-parallel,,,,,Sieve parallel,,,,
,Instance 1:,Instance 2:,Instance 3:,Instance 4:,Instance 5:,Instance 1:,Instance 2:,Instance 3:,Instance 4:,Instance 5:
experiment 1,"0,003024","0,001562","0,003277","0,004027","0,007692","0,003282","0,00282","0,001854","0,002295","0,006162"
experiment 2,"0,002988","0,00169","0,002846","0,004542","0,007999","0,002091","0,002764","0,001283","0,002711","0,004695"
experiment 3,"0,002743","0,001488","0,002909","0,003834","0,007845","0,002194","0,001841","0,001716","0,002704","0,004485"
experiment 4,"0,002569","0,001469","0,002593","0,003586","0,00776","0,0019","0,001368","0,001172","0,002487","0,00447"
experiment 5,"0,002709","0,001867","0,003103","0,004616","0,007883","0,001871","0,001705","0,001304","0,002277","0,004477"
experiment 6,"0,002725","0,001423","0,002325","0,003814","0,008686","0,001818","0,001043","0,001313","0,00226","0,004471"
experiment 7,"0,003093","0,001415","0,002816","0,003733","0,007374","0,001848","0,000948","0,001145","0,002194","0,004384"
experiment 8,"0,001652","0,001581","0,001864","0,003863","0,007898","0,00242","0,00084","0,00118","0,002243","0,004564"
experiment 9,"0,001166","0,001435","0,002225","0,003707","0,007863","0,001787","0,000794","0,001291","0,002276","0,023529"
experiment 10,"0,000952","0,001572","0,002146","0,004367","0,008384","0,001849","0,00075","0,001165","0,003843","0,021411"
experiment 11,"0,001033","0,00142","0,001863","0,003903","0,008272","0,001885","0,000684","0,001222","0,002351","0,020741"
experiment 12,"0,000809","0,0015","0,002","0,003802","0,007379","0,001558","0,000632","0,001284","0,002248","0,020596"
experiment 13,"0,000928","0,001691","0,001904","0,004538","0,008344","0,001633","0,000804","0,001158","0,002272","0,020868"
experiment 14,"0,000732","0,001574","0,002224","0,003902","0,008124","0,001759","0,000627","0,001158","0,003552","0,021169"
experiment 15,"0,000795","0,001676","0,003883","0,004922","0,007441","0,001546","0,00063","0,001155","0,002215","0,013677"
,"0,0018612","0,001557533333333","0,002531866666667","0,004077066666667","0,0079296","0,001962733333333","0,001216666666667","0,001293333333333","0,002528533333333","0,011979933333333"
